Location,Variant,Time,AgeGrp,ASFR
China,Medium,1997,20-24,138.365
China,Medium,1997,25-29,111.872
China,Medium,1997,30-34,34.297
China,Medium,1997,35-39,7.496
China,Medium,1997,40-44,1.656
China,Medium,1997,45-49,0.697
China,Medium,1997,50-54,0.352
China,Medium,1998,10-14,0.11
China,Medium,1998,15-19,11.641
China,Medium,1998,20-24,136.9
China,Medium,1998,25-29,109.44
China,Medium,1998,30-34,35.749
China,Medium,1998,35-39,9.402
China,Medium,1998,40-44,1.392
China,Medium,1998,45-49,0.637
China,Medium,1998,50-54,0.353
China,Medium,1999,10-14,0.112
China,Medium,1999,15-19,11.92
China,Medium,1999,20-24,132.431
China,Medium,1999,25-29,110.722
China,Medium,1999,30-34,39.342
China,Medium,1999,35-39,10.258
China,Medium,1999,40-44,1.327
China,Medium,1999,45-49,0.66
China,Medium,1999,50-54,0.349
China,Medium,2000,10-14,0.115
China,Medium,2000,15-19,12.579
China,Medium,2000,20-24,136.205
China,Medium,2000,25-29,119.683
China,Medium,2000,30-34,43.588
China,Medium,2000,35-39,10.21
China,Medium,2000,40-44,1.704
China,Medium,2000,45-49,0.836
China,Medium,2000,50-54,0.376
China,Medium,2001,10-14,0.119
China,Medium,2001,15-19,12.917
China,Medium,2001,20-24,122.045
China,Medium,2001,25-29,116.699
China,Medium,2001,30-34,45.936
China,Medium,2001,35-39,10.258
China,Medium,2001,40-44,1.738
China,Medium,2001,45-49,0.746
China,Medium,2001,50-54,0.33
China,Medium,2002,10-14,0.124
China,Medium,2002,15-19,12.814
China,Medium,2002,20-24,121.853
China,Medium,2002,25-29,112.38
China,Medium,2002,30-34,49.017
China,Medium,2002,35-39,10.438
China,Medium,2002,40-44,1.794
China,Medium,2002,45-49,0.793
China,Medium,2002,50-54,0.339
China,Medium,2003,10-14,0.13
China,Medium,2003,15-19,12.675
China,Medium,2003,20-24,124.978
China,Medium,2003,25-29,109.111
China,Medium,2003,30-34,48.876
China,Medium,2003,35-39,11.457
China,Medium,2003,40-44,2.052
China,Medium,2003,45-49,0.812
China,Medium,2003,50-54,0.342
China,Medium,2004,10-14,0.133
China,Medium,2004,15-19,12.528
China,Medium,2004,20-24,127.99
China,Medium,2004,25-29,111.586
China,Medium,2004,30-34,50.654
China,Medium,2004,35-39,12.741
China,Medium,2004,40-44,2.289
China,Medium,2004,45-49,0.908
China,Medium,2004,50-54,0.348
China,Medium,2005,10-14,0.13
China,Medium,2005,15-19,13.389
China,Medium,2005,20-24,129.572
China,Medium,2005,25-29,111.408
China,Medium,2005,30-34,50.457
China,Medium,2005,35-39,14.328
China,Medium,2005,40-44,3.023
China,Medium,2005,45-49,1.089
China,Medium,2005,50-54,0.349
China,Medium,2006,10-14,0.125
China,Medium,2006,15-19,13.712
China,Medium,2006,20-24,125.494
China,Medium,2006,25-29,114.322
China,Medium,2006,30-34,52.816
China,Medium,2006,35-39,16.12
China,Medium,2006,40-44,3.511
China,Medium,2006,45-49,1.519
China,Medium,2006,50-54,0.366
China,Medium,2007,10-14,0.124
China,Medium,2007,15-19,14.324
China,Medium,2007,20-24,119.717
China,Medium,2007,25-29,117.028
China,Medium,2007,30-34,55.943
China,Medium,2007,35-39,18.128
China,Medium,2007,40-44,4.264
China,Medium,2007,45-49,2.052
China,Medium,2007,50-54,0.391
China,Medium,2008,10-14,0.124
China,Medium,2008,15-19,15.141
China,Medium,2008,20-24,116.256
China,Medium,2008,25-29,120.238
China,Medium,2008,30-34,59.059
China,Medium,2008,35-39,19.907
China,Medium,2008,40-44,5.17
China,Medium,2008,45-49,2.631
China,Medium,2008,50-54,0.414
China,Medium,2009,10-14,0.124
China,Medium,2009,15-19,15.998
China,Medium,2009,20-24,113.409
China,Medium,2009,25-29,121.642
China,Medium,2009,30-34,61.391
China,Medium,2009,35-39,21.121
China,Medium,2009,40-44,5.904
China,Medium,2009,45-49,2.861
China,Medium,2009,50-54,0.382
China,Medium,2010,10-14,0.122
China,Medium,2010,15-19,15.908
China,Medium,2010,20-24,108.042
